CVE ID,Description,CVSS Score,Attack Vector,Affected OS,Severity,Vulnerability_Type,Attack_Vector_Type,CVE_Year,Description_Length,Cleaned_Description,Original_Length,Cleaned_Length,Reduction_Pct,Top_Keywords
CVE-2023-50094,reNgine before 2.1.2 allows OS Command Injection if an adversary has a valid session ID. The attack places shell metacharacters in an api/tools/waf_detector/?url= string. The commands are executed as root via subprocess.check_output.,8.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,High,Command Injection,Network,2023.0,233,rengine VERSION allows command injection adversary valid session attack place shell metacharacters api tool waf detector url string command executed root via subprocess check output,233,181,22.3,"url string, command executed, valid, adversary, root via"
CVE-2023-50096,"STMicroelectronics STSAFE-A1xx middleware before 3.3.7 allows MCU code execution if an adversary has the ability to read from and write to the I2C bus. This is caused by an StSafeA_ReceiveBytes buffer overflow in the X-CUBE-SAFEA1 Software Package for STSAFE-A sample applications (1.2.0), and thus can affect user-written code that was derived from a published sample application.",7.5,CVSS:3.1/AV:A/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,,High,Remote Code Execution,Adjacent,2023.0,381,stmicroelectronics stsafe middleware VERSION allows mcu code execution adversary ability read write bus caused stsafea receivebytes buffer overflow cube safea software package stsafe sample application VERSION thus affect user written code derived published sample application,381,276,27.6,"bus, read write, application version, published, application"
CVE-2024-0182,A vulnerability was found in SourceCodester Engineers Online Portal 1.0 and classified as critical. Affected by this issue is some unknown functionality of the file /admin/ of the component Admin Login. The manipulation of the argument username/password leads to sql injection. The attack may be launched remotely. The identifier of this vulnerability is VDB-249440.,7.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:L,,High,SQL Injection,Network,2024.0,366,vulnerability found sourcecodester engineer online portal classified critical affected issue unknown functionality file admin component admin login manipulation argument username password lead sql injection attack may launched remotely identifier vulnerability vdb,366,264,27.9,"admin component, admin login, login manipulation, remotely identifier, username password"
CVE-2024-0183,A vulnerability was found in RRJ Nueva Ecija Engineer Online Portal 1.0. It has been classified as problematic. This affects an unknown part of the file /admin/students.php of the component NIA Office. The manipulation leads to basic cross site scripting. It is possible to initiate the attack remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-249441 was assigned to this vulnerability.,2.4,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:N/I:L/A:N,,Low,Other,Network,2024.0,427,vulnerability found rrj nueva ecija engineer online portal classified problematic affect unknown part file admin student php component nia office manipulation lead basic cross site scripting possible initiate attack remotely exploit disclosed public may used identifier vdb assigned vulnerability,427,296,30.7,"basic, student, problematic affect, office, portal classified"
CVE-2024-0184,A vulnerability was found in RRJ Nueva Ecija Engineer Online Portal 1.0. It has been declared as problematic. This vulnerability affects unknown code of the file /admin/edit_teacher.php of the component Add Enginer. The manipulation of the argument Firstname/Lastname leads to cross site scripting. The attack can be initiated remotely. The exploit has been disclosed to the public and may be used. VDB-249442 is the identifier assigned to this vulnerability.,2.4,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:N/I:L/A:N,,Low,Other,Network,2024.0,459,vulnerability found rrj nueva ecija engineer online portal declared problematic vulnerability affect unknown code file admin edit teacher php component add enginer manipulation argument firstname lastname lead cross site scripting attack initiated remotely exploit disclosed public may used vdb identifier assigned vulnerability,459,328,28.5,"component add, argument firstname, admin edit, lastname, firstname lastname"
CVE-2024-0185,A vulnerability was found in RRJ Nueva Ecija Engineer Online Portal 1.0. It has been rated as critical. This issue affects some unknown processing of the file dasboard_teacher.php of the component Avatar Handler. The manipulation leads to unrestricted upload. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-249443.,4.7,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:L/I:L/A:L,,Medium,Other,Network,2024.0,422,vulnerability found rrj nueva ecija engineer online portal rated critical issue affect unknown processing file dasboard teacher php component avatar handler manipulation lead unrestricted upload attack may initiated remotely exploit disclosed public may used associated identifier vulnerability vdb,422,298,29.4,"portal rated, teacher php, upload attack, teacher, lead unrestricted"
CVE-2024-0186,A vulnerability classified as problematic has been found in HuiRan Host Reseller System up to 2.0.0. Affected is an unknown function of the file /user/index/findpass?do=4 of the component HTTP POST Request Handler. The manipulation leads to weak password recovery. It is possible to launch the attack remotely. The complexity of an attack is rather high. The exploitability is told to be difficult. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-249444.,3.7,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N,,Low,Other,Network,2024.0,512,vulnerability classified problematic found huiran host reseller system VERSION affected unknown function file user index findpass component http post request handler manipulation lead weak password recovery possible launch attack remotely complexity attack rather high exploitability told difficult exploit disclosed public may used identifier vulnerability vdb,512,361,29.5,"recovery possible, exploitability, told, high exploitability, exploitability told"
CVE-2023-32831,"In wlan driver, there is a possible PIN crack due to use of insufficiently random values. This could lead to local information disclosure with no execution privileges needed. User interaction is not needed for exploitation. Patch ID: WCNCR00325055; Issue ID: MSV-868.",5.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,Mediatek Software Development Kit,Medium,Information Disclosure,Local,2023.0,267,wlan driver possible pin crack due use insufficiently random value could lead local information disclosure execution privilege needed user interaction needed exploitation patch wcncr issue msv,267,192,28.1,"needed, insufficiently, due use, value could, crack"
CVE-2023-32872,"In keyInstall, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08308607; Issue ID: ALPS08308607.",6.7,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,"Google Android 11.0, Google Android 13.0, Google Android 12.0",Medium,Other,Local,2023.0,272,keyinstall possible bound write due missing bound check could lead local escalation privilege system execution privilege needed user interaction needed exploitation patch alp issue alp,272,184,32.4,"alp, needed, keyinstall, keyinstall possible, bound"
CVE-2023-32874,"In Modem IMS Stack, there is a possible out of bounds write due to a missing bounds check. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: MOLY01161803; Issue ID: MOLY01161803 (MSV-893).",9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"Mediatek Nr16, Mediatek Lr13, Mediatek Nr17, Mediatek Nr15",Critical,Remote Code Execution,Network,2023.0,286,modem ims stack possible bound write due missing bound check could lead remote code execution additional execution privilege needed user interaction needed exploitation patch moly issue moly msv,286,194,32.2,"moly, needed, ims stack, stack possible, bound"
CVE-2023-32875,"In keyInstall, there is a possible information disclosure due to a missing bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08308607; Issue ID: ALPS08304217.",4.4,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N,"Google Android 11.0, Google Android 13.0, Google Android 12.0",Medium,Information Disclosure,Local,2023.0,274,keyinstall possible information disclosure due missing bound check could lead local information disclosure system execution privilege needed user interaction needed exploitation patch alp issue alp,274,197,28.1,"alp, needed, information disclosure, keyinstall possible, keyinstall"
CVE-2023-32876,"In keyInstall, there is a possible information disclosure due to a missing bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08308612; Issue ID: ALPS08308612.",4.4,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N,"Google Android 11.0, Google Android 13.0, Google Android 12.0",Medium,Information Disclosure,Local,2023.0,274,keyinstall possible information disclosure due missing bound check could lead local information disclosure system execution privilege needed user interaction needed exploitation patch alp issue alp,274,197,28.1,"alp, needed, information disclosure, keyinstall possible, keyinstall"
CVE-2023-32877,"In battery, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08308070; Issue ID: ALPS08308070.",6.7,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,"Google Android 13.0, Google Android 12.0",Medium,Other,Local,2023.0,269,battery possible bound write due missing bound check could lead local escalation privilege system execution privilege needed user interaction needed exploitation patch alp issue alp,269,181,32.7,"alp, needed, bound, battery, battery possible"
CVE-2023-32878,"In battery, there is a possible information disclosure due to a missing bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08308070; Issue ID: ALPS08307992.",4.4,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N,"Google Android 13.0, Google Android 12.0",Medium,Information Disclosure,Local,2023.0,271,battery possible information disclosure due missing bound check could lead local information disclosure system execution privilege needed user interaction needed exploitation patch alp issue alp,271,194,28.4,"alp, needed, information disclosure, disclosure system, battery possible"
CVE-2023-32879,"In battery, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08308070; Issue ID: ALPS08308064.",6.7,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,"Google Android 13.0, Google Android 12.0",Medium,Other,Local,2023.0,269,battery possible bound write due missing bound check could lead local escalation privilege system execution privilege needed user interaction needed exploitation patch alp issue alp,269,181,32.7,"alp, needed, bound, battery, battery possible"
CVE-2023-32880,"In battery, there is a possible information disclosure due to a missing bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08308070; Issue ID: ALPS08308076.",4.4,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N,"Google Android 13.0, Google Android 12.0",Medium,Information Disclosure,Local,2023.0,271,battery possible information disclosure due missing bound check could lead local information disclosure system execution privilege needed user interaction needed exploitation patch alp issue alp,271,194,28.4,"alp, needed, information disclosure, disclosure system, battery possible"
CVE-2023-32881,"In battery, there is a possible information disclosure due to an integer overflow. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08308070; Issue ID: ALPS08308080.",4.4,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N,"Google Android 13.0, Google Android 12.0",Medium,Information Disclosure,Local,2023.0,268,battery possible information disclosure due integer overflow could lead local information disclosure system execution privilege needed user interaction needed exploitation patch alp issue alp,268,191,28.7,"alp, needed, information disclosure, due integer, disclosure system"
CVE-2023-32882,"In battery, there is a possible memory corruption due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08308070; Issue ID: ALPS08308616.",6.7,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,"Google Android 13.0, Google Android 12.0",Medium,Other,Local,2023.0,267,battery possible memory corruption due missing bound check could lead local escalation privilege system execution privilege needed user interaction needed exploitation patch alp issue alp,267,187,30.0,"alp, needed, possible memory, battery possible, battery"
CVE-2023-32883,"In Engineer Mode, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08282249; Issue ID: ALPS08282249.",6.7,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,"Google Android 13.0, Google Android 12.0",Medium,Other,Local,2023.0,275,engineer mode possible bound write due missing bound check could lead local escalation privilege system execution privilege needed user interaction needed exploitation patch alp issue alp,275,187,32.0,"alp, needed, bound, local escalation, possible bound"
CVE-2023-32884,"In netdagent, there is a possible information disclosure due to an incorrect bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS07944011; Issue ID: ALPS07944011.",6.7,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,"Google Android 13.0, Google Android 12.0",Medium,Information Disclosure,Local,2023.0,277,netdagent possible information disclosure due incorrect bound check could lead local escalation privilege system execution privilege needed user interaction needed exploitation patch alp issue alp,277,196,29.2,"alp, needed, due incorrect, disclosure due, possible information"
CVE-2023-32885,"In display drm, there is a possible memory corruption due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS07780685; Issue ID: ALPS07780685.",6.7,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,"Google Android 13.0, Google Android 12.0",Medium,Other,Local,2023.0,271,display drm possible memory corruption due missing bound check could lead local escalation privilege system execution privilege needed user interaction needed exploitation patch alp issue alp,271,191,29.5,"alp, needed, display, possible memory, local escalation"
CVE-2023-32886,"In Modem IMS SMS UA, there is a possible out of bounds write due to a missing bounds check. This could lead to remote denial of service with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: MOLY00730807; Issue ID: MOLY00730807.",7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"Mediatek Nr16, Mediatek Nr17, Mediatek Nr15",High,Denial of Service,Network,2023.0,280,modem ims sm possible bound write due missing bound check could lead remote denial service additional execution privilege needed user interaction needed exploitation patch moly issue moly,280,187,33.2,"moly, needed, bound, modem ims, service additional"
CVE-2023-32887,"In Modem IMS Stack, there is a possible system crash due to a missing bounds check. This could lead to remote denial of service with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: MOLY01161837; Issue ID: MOLY01161837 (MSV-892).",7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"Mediatek Nr16, Mediatek Nr17, Mediatek Nr15",High,Denial of Service,Network,2023.0,282,modem ims stack possible system crash due missing bound check could lead remote denial service additional execution privilege needed user interaction needed exploitation patch moly issue moly msv,282,195,30.9,"moly, needed, system crash, possible system, stack possible"
CVE-2023-32888,"In Modem IMS Call UA, there is a possible out of bounds write due to a missing bounds check. This could lead to remote denial of service with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: MOLY01161830; Issue ID: MOLY01161830 (MSV-894).",7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"Mediatek Nr16, Mediatek Nr17, Mediatek Nr15",High,Denial of Service,Network,2023.0,291,modem ims call possible bound write due missing bound check could lead remote denial service additional execution privilege needed user interaction needed exploitation patch moly issue moly msv,291,193,33.7,"moly, needed, ims call, call possible, bound"
CVE-2023-32889,"In Modem IMS Call UA, there is a possible out of bounds write due to a missing bounds check. This could lead to remote denial of service with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: MOLY01161825; Issue ID: MOLY01161825 (MSV-895).",7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"Google Android 11.0, Google Android 13.0, Google Android 12.0",High,Denial of Service,Network,2023.0,291,modem ims call possible bound write due missing bound check could lead remote denial service additional execution privilege needed user interaction needed exploitation patch moly issue moly msv,291,193,33.7,"moly, needed, ims call, call possible, bound"
CVE-2023-32890,"In modem EMM, there is a possible system crash due to improper input validation. This could lead to remote denial of service with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: MOLY01183647; Issue ID: MOLY01183647 (MSV-963).",7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"Mediatek Nr16, Mediatek Lr13, Mediatek Nr17, Mediatek Nr15",High,Denial of Service,Network,2023.0,279,modem emm possible system crash due improper input validation could lead remote denial service additional execution privilege needed user interaction needed exploitation patch moly issue moly msv,279,195,30.1,"moly, needed, system crash, validation could, crash due"
CVE-2023-32891,"In bluetooth service, there is a possible out of bounds write due to improper input validation. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS07933038; Issue ID: MSV-559.",6.7,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,"Google Android 11.0, Mediatek Lr13, Mediatek Nr15, Mediatek Nr17, Mediatek Nr16, Google Android 13.0, Google Android 12.0",Medium,Other,Local,2023.0,277,bluetooth service possible bound write due improper input validation could lead local escalation privilege system execution privilege needed user interaction needed exploitation patch alp issue msv,277,197,28.9,"needed, issue msv, validation could, service possible, bluetooth"
CVE-2023-26157,Versions of the package libredwg before 0.12.5.6384 are vulnerable to Denial of Service (DoS) due to an out-of-bounds read involving section->num_pages in decode_r2007.c.,5.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,,Medium,Denial of Service,Local,2023.0,170,version package libredwg VERSION vulnerable denial service do due bound read involving section num page decode,170,110,35.3,"involving, version package, vulnerable denial, decode, num"
CVE-2023-26159,"Versions of the package follow-redirects before 1.15.4 are vulnerable to Improper Input Validation due to the improper handling of URLs by the url.parse() function. When new URL() throws an error, it can be manipulated to misinterpret the hostname. An attacker could exploit this weakness to redirect traffic to a malicious site, potentially leading to information disclosure, phishing attacks, or other security breaches.",7.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:L,,High,Information Disclosure,Network,2023.0,422,version package follow redirects VERSION vulnerable improper input validation due improper handling url url parse function new url throw error manipulated misinterpret hostname attacker could exploit weakness redirect traffic malicious site potentially leading information disclosure phishing attack security breach,422,315,25.4,"url, version package, vulnerable improper, follow, manipulated"
CVE-2023-28583,Memory corruption when IPv6 prefix timer object`s lifetime expires which are created while Netmgr daemon gets an IPv6 address.,6.7,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,"Qualcomm Wcn3988 Firmware, Qualcomm Snapdragon 855 Mobile Platform Firmware, Qualcomm Wsa8835 Firmware, Qualcomm Qca6430 Firmware, Qualcomm Fastconnect 6200 Firmware, Qualcomm Wcn3980 Firmware, Qualcomm Wcn3680B Firmware, Qualcomm Snapdragon W5\+ Gen 1 Wearable Platform Firmware, Qualcomm Sa6150P Firmware, Qualcomm Snapdragon 855\+\/860 Mobile Platform Firmware, Qualcomm Sa6155P Firmware, Qualcomm Wcn3610 Firmware, Qualcomm Sa6145P Firmware, Qualcomm Sa8195P Firmware, Qualcomm Wsa8830 Firmware, Qualcomm Wsa8810 Firmware, Qualcomm Qca6574Au Firmware, Qualcomm Wcd9341 Firmware, Qualcomm Sa8155P Firmware, Qualcomm Snapdragon Wear 4100\+ Platform Firmware, Qualcomm Sa8150P Firmware, Qualcomm Wcn3660B Firmware, Qualcomm Sa8145P Firmware, Qualcomm Wsa8815 Firmware, Qualcomm Qca6420 Firmware, Qualcomm Sd855 Firmware, Qualcomm Aqt1000 Firmware, Qualcomm Sw5100P Firmware, Qualcomm Sw5100 Firmware, Qualcomm Qca6696 Firmware",Medium,Other,Local,2023.0,126,memory corruption ipv prefix timer object lifetime expires created netmgr daemon get ipv address,126,96,23.8,"ipv, expires, ipv address, prefix, timer"
CVE-2023-33014,Information disclosure in Core services while processing a Diag command.,7.6,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,"Qualcomm Qca8081 Firmware, Qualcomm Ssg2125P Firmware, Qualcomm Wcn3988 Firmware, Qualcomm Wsa8835 Firmware, Qualcomm Qcn9024 Firmware, Qualcomm Qcs8550 Firmware, Qualcomm Sxr1230P Firmware, Qualcomm Qca6797Aq Firmware, Qualcomm Qam8650P Firmware, Qualcomm Wcd9380 Firmware, Qualcomm Wsa8832 Firmware, Qualcomm Qcm4490 Firmware, Qualcomm Ssg2115P Firmware, Qualcomm Qca8337 Firmware, Qualcomm Sxr2230P Firmware, Qualcomm Qam8255P Firmware, Qualcomm Qca6698Aq Firmware, Qualcomm Ar8035 Firmware, Qualcomm Snapdragon X70 Modem-Rf System Firmware, Qualcomm Wcd9370 Firmware, Qualcomm Snapdragon Ar2 Gen 1 Platform Firmware, Qualcomm Wcn3950 Firmware, Qualcomm Qcs4490 Firmware, Qualcomm Qcn6024 Firmware, Qualcomm Wsa8830 Firmware, Qualcomm Sm4450 Firmware, Qualcomm Wsa8810 Firmware, Qualcomm Qca6595 Firmware, Qualcomm Fastconnect 6900 Firmware, Qualcomm Fastconnect 7800 Firmware, Qualcomm Snapdragon X65 5G Modem-Rf System Firmware, Qualcomm Qam8775P Firmware, Qualcomm Wsa8815 Firmware, Qualcomm Qca6595Au Firmware, Qualcomm Fastconnect 6700 Firmware, Qualcomm Wcd9385 Firmware, Qualcomm Sa8255P Firmware",High,Information Disclosure,Physical,2023.0,72,information disclosure core service processing diag command,72,59,18.1,"core, information disclosure, processing, command, disclosure"
CVE-2023-33025,"Memory corruption in Data Modem when a non-standard SDP body, during a VOLTE call.",9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"Qualcomm Qca8081 Firmware, Qualcomm Wcn3988 Firmware, Qualcomm Snapdragon 680 4G Mobile Platform Firmware, Qualcomm Wsa8835 Firmware, Qualcomm Qcn9024 Firmware, Qualcomm Wcd9375 Firmware, Qualcomm Wcd9380 Firmware, Qualcomm Wsa8832 Firmware, Qualcomm Qcm4490 Firmware, Qualcomm Qca8337 Firmware, Qualcomm Snapdragon X70 Modem-Rf System Firmware, Qualcomm Ar8035 Firmware, Qualcomm Snapdragon 685 4G Mobile Platform Firmware, Qualcomm Wcd9370 Firmware, Qualcomm Wcn3950 Firmware, Qualcomm Qcs4490 Firmware, Qualcomm Qcn6024 Firmware, Qualcomm Wsa8830 Firmware, Qualcomm Sm4450 Firmware, Qualcomm Wsa8810 Firmware, Qualcomm Fastconnect 6900 Firmware, Qualcomm Snapdragon X65 5G Modem-Rf System Firmware, Qualcomm Wsa8815 Firmware, Qualcomm Fastconnect 6700 Firmware",Critical,Other,Network,2023.0,82,memory corruption data modem non standard sdp body volta call,82,61,25.6,"standard, body, modem, call, non"
