CVE ID,Description,CVSS Score,Attack Vector,Affected OS,Severity,Vulnerability_Type,Attack_Vector_Type,CVE_Year,Description_Length,Cleaned_Description,Original_Length,Cleaned_Length,Reduction_Pct,Top_Keywords,Summary,Alert,Orig_Len,Summary_Len,Compression_Ratio
CVE-2023-50094,reNgine before 2.1.2 allows OS Command Injection if an adversary has a valid session ID. The attack places shell metacharacters in an api/tools/waf_detector/?url= string. The commands are executed as root via subprocess.check_output.,8.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,High,Command Injection,Network,2023.0,233,rengine VERSION allows command injection adversary valid session attack place shell metacharacters api tool waf detector url string command executed root via subprocess check output,233,181,22.3,"url string, command executed, valid, adversary, root via",Ngine before 2.1.2 allows OS Command Injection if an adversary has a valid session ID. The attack places shell metacharacters in an api/tools/waf_detector/?url= string. The commands are executed as root via subprocess.check_output.,"CVE Alert: High Command Injection vulnerability
CVE ID: CVE-2023-50094 | CVSS: 8.8

Summary: Ngine before 2.1.2 allows OS Command Injection if an adversary has a valid session ID. The attack places shell metacharacters in an api/tools/waf_detector/?url= string. The commands are executed as root via subprocess.check_output.

Recommended Action: Apply patches within 24 hours. Monitor for exploitation.",233,231,0.9914163090128756
CVE-2023-50096,"STMicroelectronics STSAFE-A1xx middleware before 3.3.7 allows MCU code execution if an adversary has the ability to read from and write to the I2C bus. This is caused by an StSafeA_ReceiveBytes buffer overflow in the X-CUBE-SAFEA1 Software Package for STSAFE-A sample applications (1.2.0), and thus can affect user-written code that was derived from a published sample application.",7.5,CVSS:3.1/AV:A/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,,High,Remote Code Execution,Adjacent,2023.0,381,stmicroelectronics stsafe middleware VERSION allows mcu code execution adversary ability read write bus caused stsafea receivebytes buffer overflow cube safea software package stsafe sample application VERSION thus affect user written code derived published sample application,381,276,27.6,"bus, read write, application version, published, application",STMicroelectronics STSAFE-A1xx middleware before 3.3.7 allows MCU code execution if an adversary has the ability to read from and write to the I2C bus.,"CVE Alert: High Remote Code Execution vulnerability
CVE ID: CVE-2023-50096 | CVSS: 7.5

Summary: STMicroelectronics STSAFE-A1xx middleware before 3.3.7 allows MCU code execution if an adversary has the ability to read from and write to the I2C bus.

Recommended Action: Apply patches within 24 hours. Monitor for exploitation.",381,151,0.3963254593175853
CVE-2024-0182,A vulnerability was found in SourceCodester Engineers Online Portal 1.0 and classified as critical. Affected by this issue is some unknown functionality of the file /admin/ of the component Admin Login. The manipulation of the argument username/password leads to sql injection. The attack may be launched remotely. The identifier of this vulnerability is VDB-249440.,7.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:L,,High,SQL Injection,Network,2024.0,366,vulnerability found sourcecodester engineer online portal classified critical affected issue unknown functionality file admin component admin login manipulation argument username password lead sql injection attack may launched remotely identifier vulnerability vdb,366,264,27.9,"admin component, admin login, login manipulation, remotely identifier, username password",A vulnerability was found in SourceCodester Engineers Online Portal 1.0. Affected by this issue is some unknown functionality of the file /admin/ of the component Admin Login. The manipulation of the argument username/password leads to sql injection. The attack may be launched remotely.,"CVE Alert: High SQL Injection vulnerability
CVE ID: CVE-2024-0182 | CVSS: 7.3

Summary: A vulnerability was found in SourceCodester Engineers Online Portal 1.0. Affected by this issue is some unknown functionality of the file /admin/ of the component Admin Login. The manipulation of the argument username/password leads to sql injection. The attack may be launched remotely.

Recommended Action: Apply patches within 24 hours. Monitor for exploitation.",366,287,0.7841530054644809
CVE-2024-0183,A vulnerability was found in RRJ Nueva Ecija Engineer Online Portal 1.0. It has been classified as problematic. This affects an unknown part of the file /admin/students.php of the component NIA Office. The manipulation leads to basic cross site scripting. It is possible to initiate the attack remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-249441 was assigned to this vulnerability.,2.4,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:N/I:L/A:N,,Low,Other,Network,2024.0,427,vulnerability found rrj nueva ecija engineer online portal classified problematic affect unknown part file admin student php component nia office manipulation lead basic cross site scripting possible initiate attack remotely exploit disclosed public may used identifier vdb assigned vulnerability,427,296,30.7,"basic, student, problematic affect, office, portal classified",A vulnerability was found in RRJ Nueva Ecija Engineer Online Portal 1.0. This affects an unknown part of the file /admin/students.php of the component NIA Office. It is possible to initiate the attack remotely.,"CVE Alert: Low Other vulnerability
CVE ID: CVE-2024-0183 | CVSS: 2.4

Summary: A vulnerability was found in RRJ Nueva Ecija Engineer Online Portal 1.0. This affects an unknown part of the file /admin/students.php of the component NIA Office. It is possible to initiate the attack remotely.

Recommended Action: Apply patches during routine maintenance.",427,210,0.4918032786885246
CVE-2024-0184,A vulnerability was found in RRJ Nueva Ecija Engineer Online Portal 1.0. It has been declared as problematic. This vulnerability affects unknown code of the file /admin/edit_teacher.php of the component Add Enginer. The manipulation of the argument Firstname/Lastname leads to cross site scripting. The attack can be initiated remotely. The exploit has been disclosed to the public and may be used. VDB-249442 is the identifier assigned to this vulnerability.,2.4,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:N/I:L/A:N,,Low,Other,Network,2024.0,459,vulnerability found rrj nueva ecija engineer online portal declared problematic vulnerability affect unknown code file admin edit teacher php component add enginer manipulation argument firstname lastname lead cross site scripting attack initiated remotely exploit disclosed public may used vdb identifier assigned vulnerability,459,328,28.5,"component add, argument firstname, admin edit, lastname, firstname lastname",Vulnerability found in RRJ Nueva Ecija Engineer Online Portal 1.0. Attack can be initiated remotely. VDB-249442 is the identifier assigned to this vulnerability.,"CVE Alert: Low Other vulnerability
CVE ID: CVE-2024-0184 | CVSS: 2.4

Summary: Vulnerability found in RRJ Nueva Ecija Engineer Online Portal 1.0. Attack can be initiated remotely. VDB-249442 is the identifier assigned to this vulnerability.

Recommended Action: Apply patches during routine maintenance.",459,161,0.35076252723311546
CVE-2024-0185,A vulnerability was found in RRJ Nueva Ecija Engineer Online Portal 1.0. It has been rated as critical. This issue affects some unknown processing of the file dasboard_teacher.php of the component Avatar Handler. The manipulation leads to unrestricted upload. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-249443.,4.7,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:L/I:L/A:L,,Medium,Other,Network,2024.0,422,vulnerability found rrj nueva ecija engineer online portal rated critical issue affect unknown processing file dasboard teacher php component avatar handler manipulation lead unrestricted upload attack may initiated remotely exploit disclosed public may used associated identifier vulnerability vdb,422,298,29.4,"portal rated, teacher php, upload attack, teacher, lead unrestricted",A vulnerability was found in RRJ Nueva Ecija Engineer Online Portal 1.0. This issue affects some unknown processing of the file dasboard_teacher.php of the component Avatar Handler. The attack may be initiated remotely.,"CVE Alert: Medium Other vulnerability
CVE ID: CVE-2024-0185 | CVSS: 4.7

Summary: A vulnerability was found in RRJ Nueva Ecija Engineer Online Portal 1.0. This issue affects some unknown processing of the file dasboard_teacher.php of the component Avatar Handler. The attack may be initiated remotely.

Recommended Action: Schedule patching within the next maintenance window.",422,219,0.518957345971564
CVE-2024-0186,A vulnerability classified as problematic has been found in HuiRan Host Reseller System up to 2.0.0. Affected is an unknown function of the file /user/index/findpass?do=4 of the component HTTP POST Request Handler. The manipulation leads to weak password recovery. It is possible to launch the attack remotely. The complexity of an attack is rather high. The exploitability is told to be difficult. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-249444.,3.7,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N,,Low,Other,Network,2024.0,512,vulnerability classified problematic found huiran host reseller system VERSION affected unknown function file user index findpass component http post request handler manipulation lead weak password recovery possible launch attack remotely complexity attack rather high exploitability told difficult exploit disclosed public may used identifier vulnerability vdb,512,361,29.5,"recovery possible, exploitability, told, high exploitability, exploitability told",Vulnerability classified as problematic has been found in HuiRan Host Reseller System. Affected is an unknown function of the file /user/index/findpass?do=4. It is possible to launch the attack remotely.,"CVE Alert: Low Other vulnerability
CVE ID: CVE-2024-0186 | CVSS: 3.7

Summary: Vulnerability classified as problematic has been found in HuiRan Host Reseller System. Affected is an unknown function of the file /user/index/findpass?do=4. It is possible to launch the attack remotely.

Recommended Action: Apply patches during routine maintenance.",512,203,0.396484375
CVE-2023-32831,"In wlan driver, there is a possible PIN crack due to use of insufficiently random values. This could lead to local information disclosure with no execution privileges needed. User interaction is not needed for exploitation. Patch ID: WCNCR00325055; Issue ID: MSV-868.",5.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,Mediatek Software Development Kit,Medium,Information Disclosure,Local,2023.0,267,wlan driver possible pin crack due use insufficiently random value could lead local information disclosure execution privilege needed user interaction needed exploitation patch wcncr issue msv,267,192,28.1,"needed, insufficiently, due use, value could, crack","In wlan driver, there is a possible PIN crack due to use of insufficiently random values. This could lead to local information disclosure with no execution privileges needed. Patch ID: WCNCR00325055; Issue ID: MSV-868.","CVE Alert: Medium Information Disclosure vulnerability
CVE ID: CVE-2023-32831 | CVSS: 5.5

Summary: In wlan driver, there is a possible PIN crack due to use of insufficiently random values. This could lead to local information disclosure with no execution privileges needed. Patch ID: WCNCR00325055; Issue ID: MSV-868.

Recommended Action: Schedule patching within the next maintenance window.",267,218,0.8164794007490637
CVE-2023-32872,"In keyInstall, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08308607; Issue ID: ALPS08308607.",6.7,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,"Google Android 11.0, Google Android 13.0, Google Android 12.0",Medium,Other,Local,2023.0,272,keyinstall possible bound write due missing bound check could lead local escalation privilege system execution privilege needed user interaction needed exploitation patch alp issue alp,272,184,32.4,"alp, needed, keyinstall, keyinstall possible, bound",There is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation.,"CVE Alert: Medium Other vulnerability
CVE ID: CVE-2023-32872 | CVSS: 6.7

Summary: There is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation.

Recommended Action: Schedule patching within the next maintenance window.",272,209,0.7683823529411765
CVE-2023-32874,"In Modem IMS Stack, there is a possible out of bounds write due to a missing bounds check. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: MOLY01161803; Issue ID: MOLY01161803 (MSV-893).",9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"Mediatek Nr16, Mediatek Lr13, Mediatek Nr17, Mediatek Nr15",Critical,Remote Code Execution,Network,2023.0,286,modem ims stack possible bound write due missing bound check could lead remote code execution additional execution privilege needed user interaction needed exploitation patch moly issue moly msv,286,194,32.2,"moly, needed, ims stack, stack possible, bound","In Modem IMS Stack, there is a possible out of bounds write due to a missing bounds check. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation.","CVE Alert: Critical Remote Code Execution vulnerability
CVE ID: CVE-2023-32874 | CVSS: 9.8

Summary: In Modem IMS Stack, there is a possible out of bounds write due to a missing bounds check. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation.

Recommended Action: Patch immediately. Isolate affected systems.",286,228,0.7972027972027972
CVE-2023-32875,"In keyInstall, there is a possible information disclosure due to a missing bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08308607; Issue ID: ALPS08304217.",4.4,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N,"Google Android 11.0, Google Android 13.0, Google Android 12.0",Medium,Information Disclosure,Local,2023.0,274,keyinstall possible information disclosure due missing bound check could lead local information disclosure system execution privilege needed user interaction needed exploitation patch alp issue alp,274,197,28.1,"alp, needed, information disclosure, keyinstall possible, keyinstall",There is a possible information disclosure due to a missing bounds check. This could lead to local information disclosure. User interaction is not needed for exploitation.,"CVE Alert: Medium Information Disclosure vulnerability
CVE ID: CVE-2023-32875 | CVSS: 4.4

Summary: There is a possible information disclosure due to a missing bounds check. This could lead to local information disclosure. User interaction is not needed for exploitation.

Recommended Action: Schedule patching within the next maintenance window.",274,171,0.6240875912408759
CVE-2023-32876,"In keyInstall, there is a possible information disclosure due to a missing bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08308612; Issue ID: ALPS08308612.",4.4,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N,"Google Android 11.0, Google Android 13.0, Google Android 12.0",Medium,Information Disclosure,Local,2023.0,274,keyinstall possible information disclosure due missing bound check could lead local information disclosure system execution privilege needed user interaction needed exploitation patch alp issue alp,274,197,28.1,"alp, needed, information disclosure, keyinstall possible, keyinstall",There is a possible information disclosure due to a missing bounds check. This could lead to local information disclosure. User interaction is not needed for exploitation.,"CVE Alert: Medium Information Disclosure vulnerability
CVE ID: CVE-2023-32876 | CVSS: 4.4

Summary: There is a possible information disclosure due to a missing bounds check. This could lead to local information disclosure. User interaction is not needed for exploitation.

Recommended Action: Schedule patching within the next maintenance window.",274,171,0.6240875912408759
CVE-2023-32877,"In battery, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08308070; Issue ID: ALPS08308070.",6.7,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,"Google Android 13.0, Google Android 12.0",Medium,Other,Local,2023.0,269,battery possible bound write due missing bound check could lead local escalation privilege system execution privilege needed user interaction needed exploitation patch alp issue alp,269,181,32.7,"alp, needed, bound, battery, battery possible","In battery, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation.","CVE Alert: Medium Other vulnerability
CVE ID: CVE-2023-32877 | CVSS: 6.7

Summary: In battery, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation.

Recommended Action: Schedule patching within the next maintenance window.",269,221,0.8215613382899628
CVE-2023-32878,"In battery, there is a possible information disclosure due to a missing bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08308070; Issue ID: ALPS08307992.",4.4,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N,"Google Android 13.0, Google Android 12.0",Medium,Information Disclosure,Local,2023.0,271,battery possible information disclosure due missing bound check could lead local information disclosure system execution privilege needed user interaction needed exploitation patch alp issue alp,271,194,28.4,"alp, needed, information disclosure, disclosure system, battery possible","In battery, there is a possible information disclosure due to a missing bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation.","CVE Alert: Medium Information Disclosure vulnerability
CVE ID: CVE-2023-32878 | CVSS: 4.4

Summary: In battery, there is a possible information disclosure due to a missing bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation.

Recommended Action: Schedule patching within the next maintenance window.",271,223,0.8228782287822878
CVE-2023-32879,"In battery, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08308070; Issue ID: ALPS08308064.",6.7,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,"Google Android 13.0, Google Android 12.0",Medium,Other,Local,2023.0,269,battery possible bound write due missing bound check could lead local escalation privilege system execution privilege needed user interaction needed exploitation patch alp issue alp,269,181,32.7,"alp, needed, bound, battery, battery possible","In battery, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation.","CVE Alert: Medium Other vulnerability
CVE ID: CVE-2023-32879 | CVSS: 6.7

Summary: In battery, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation.

Recommended Action: Schedule patching within the next maintenance window.",269,221,0.8215613382899628
CVE-2023-32880,"In battery, there is a possible information disclosure due to a missing bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08308070; Issue ID: ALPS08308076.",4.4,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N,"Google Android 13.0, Google Android 12.0",Medium,Information Disclosure,Local,2023.0,271,battery possible information disclosure due missing bound check could lead local information disclosure system execution privilege needed user interaction needed exploitation patch alp issue alp,271,194,28.4,"alp, needed, information disclosure, disclosure system, battery possible","In battery, there is a possible information disclosure due to a missing bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation.","CVE Alert: Medium Information Disclosure vulnerability
CVE ID: CVE-2023-32880 | CVSS: 4.4

Summary: In battery, there is a possible information disclosure due to a missing bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation.

Recommended Action: Schedule patching within the next maintenance window.",271,223,0.8228782287822878
